Protein_000,Protein_001,Protein_002,Protein_003,Protein_004,Protein_005,Protein_006,Protein_007,Protein_008,Protein_009,Protein_010,Protein_011,Protein_012,Protein_013,Protein_014,Protein_015,Protein_016,Protein_017,Protein_018,Protein_019,Protein_020,Protein_021,Protein_022,Protein_023,Protein_024,Protein_025,Protein_026,Protein_027,Protein_028,Protein_029,Protein_030,Protein_031,Protein_032,Protein_033,Protein_034,Protein_035,Protein_036,Protein_037,Protein_038,Protein_039,Protein_040,Protein_041,Protein_042,Protein_043,Protein_044,Protein_045,Protein_046,Protein_047,Protein_048,Protein_049,Protein_050,Protein_051,Protein_052,Protein_053,Protein_054,Protein_055,Protein_056,Protein_057,Protein_058,Protein_059,Protein_060,Protein_061,Protein_062,Protein_063,Protein_064,Protein_065,Protein_066,Protein_067,Protein_068,Protein_069,Protein_070,Protein_071,Protein_072,Protein_073,Protein_074,Protein_075,Protein_076,Protein_077,Protein_078,Protein_079,Protein_080,Protein_081,Protein_082,Protein_083,Protein_084,Protein_085,Protein_086,Protein_087,Protein_088,Protein_089,Protein_090,Protein_091,Protein_092,Protein_093,Protein_094,Protein_095,Protein_096,Protein_097,Protein_098,Protein_099,Protein_100,Protein_101,Protein_102,Protein_103,Protein_104,Protein_105,Protein_106,Protein_107,Protein_108,Protein_109,Protein_110,Protein_111,Protein_112,Protein_113,Protein_114,Protein_115,Protein_116,Protein_117,Protein_118,Protein_119,Protein_120,Protein_121,Protein_122,Protein_123,Protein_124,Protein_125,Protein_126,Protein_127,Protein_128,Protein_129,Protein_130,Protein_131,Protein_132,Protein_133,Protein_134,Protein_135,Protein_136,Protein_137,Protein_138,Protein_139,Protein_140,Protein_141,Protein_142,Protein_143,Protein_144,Protein_145,Protein_146,Protein_147,Protein_148,Protein_149,Protein_150,Protein_151,Protein_152,Protein_153,Protein_154,Protein_155,Protein_156,Protein_157,Protein_158,Protein_159,Protein_160,Protein_161,Protein_162,Protein_163,Protein_164,Protein_165,Protein_166,Protein_167,Protein_168,Protein_169,Protein_170,Protein_171,Protein_172,Protein_173,Protein_174,Protein_175,Protein_176,Protein_177,Protein_178,Protein_179,Protein_180,Protein_181,Protein_182,Protein_183,Protein_184,Protein_185,Protein_186,Protein_187,Protein_188,Protein_189,Protein_190,Protein_191,Protein_192,Protein_193,Protein_194,Protein_195,Protein_196,Protein_197,Protein_198,Protein_199,Protein_200,Protein_201,Protein_202,Protein_203,Protein_204,Protein_205,Protein_206,Protein_207,Protein_208,Protein_209,Protein_210,Protein_211,Protein_212,Protein_213,Protein_214,Protein_215,Protein_216,Protein_217,Protein_218,Protein_219,Protein_220,Protein_221,Protein_222,Protein_223,Protein_224,Protein_225,Protein_226,Protein_227,Protein_228,Protein_229,Protein_230,Protein_231,Protein_232,Protein_233,Protein_234,Protein_235,Protein_236,Protein_237,Protein_238,Protein_239,SampleID
8.1606,9.8218,9.5737,6.8968,10.1412,7.1407,7.3373,9.1546,8.4831,8.9017,8.5784,7.443,9.6345,9.7017,8.1813,7.7975,8.1677,8.8951,8.8736,7.5373,7.6875,10.2394,7.9502,7.9495,7.8731,8.7165,8.696,8.3833,6.506,8.1393,8.5575,8.6667,7.5022,9.5992,9.5972,9.4383,8.1086,9.5293,8.7562,8.6789,7.7266,7.3862,8.0523,7.9766,7.1263,7.3419,7.3655,9.1804,8.4335,8.4193,9.4631,8.9147,8.7027,9.0462,8.3405,8.3223,8.5863,7.3614,8.6251,8.8815,8.5871,9.3798,7.517,7.3069,9.5031,8.2239,8.6261,9.2975,8.7782,8.9698,8.7452,7.1812,9.4603,9.4827,9.0706,9.1628,7.9644,9.7973,7.8764,9.4015,6.8905,7.1434,7.4683,8.804,6.5939,7.4973,8.0578,7.1294,8.4341,8.3208,8.0765,8.4561,8.1208,8.8074,7.5837,9.0135,10.198,8.7558,8.5204,8.3019,6.953,8.9105,8.9008,8.7088,8.1067,9.0523,9.5695,7.4041,7.515,8.8045,9.0853,8.1775,8.4745,8.9185,9.2773,7.4146,9.953,6.5145,7.9043,8.7703,8.0517,8.526,9.8067,9.2601,7.6231,9.2038,8.838,7.8974,7.4561,8.4833,8.2475,9.3777,7.9287,9.0722,9.6529,8.3111,8.8368,7.9734,9.4319,8.2142,7.9889,8.5525,7.2244,8.8507,7.5046,7.2375,8.7947,9.6089,8.4045,8.0752,8.7946,9.222,9.9732,10.1236,8.4703,8.7288,8.2766,8.2271,7.4546,7.9669,9.175,9.4188,9.1735,7.2412,8.199,7.7524,7.5548,8.3349,8.0276,7.7752,10.5011,,7.0794,8.5748,7.7057,10.4806,8.6299,8.2928,10.012,6.7147,7.3989,10.004,9.012,8.0712,8.686,7.7066,8.9207,7.5,8.7323,8.9444,9.1425,7.8614,7.6894,8.7201,9.065,8.2293,8.3828,8.6459,8.9555,9.5499,7.6358,8.9202,8.1302,9.0405,8.6976,6.2533,7.4524,8.3941,9.8345,8.7107,,8.5081,8.0029,8.7209,8.3882,8.4981,6.5002,9.5837,8.3278,8.1712,8.4994,8.1998,10.988,8.7861,7.5249,8.3424,8.8749,6.6719,8.4805,8.8679,8.5826,8.94,9.5231,9.5447,8.2093,8.7934,9.4317,8.293,8.5815,9.2454,S011
7.2869,9.603,9.838,7.3211,10.7598,7.6598,8.0798,8.5767,10.1662,8.5676,6.1804,9.6853,6.2203,9.4797,10.6252,8.0802,9.8304,9.6551,5.6348,11.8615,8.8464,8.5625,7.9301,9.5987,8.7241,8.8694,8.8413,8.2711,7.489,8.0172,7.7293,9.2306,10.0026,9.0351,10.3676,8.603,10.1569,9.5322,8.922,7.9109,7.7572,9.122,9.5948,9.2609,9.6858,7.5742,8.9882,8.9614,9.321,8.4095,9.0432,6.1553,8.5883,9.3051,8.4684,8.4875,8.326,8.42,7.5737,8.8374,10.3652,8.735,9.0729,,8.9654,8.1055,8.8421,8.6273,8.4189,9.129,6.9356,8.0232,10.0063,8.8963,,8.2426,8.3648,10.1487,6.1095,9.1455,7.4773,6.2565,6.649,8.4307,9.1265,7.6589,7.9529,8.5088,9.3046,8.4255,9.5768,9.0445,7.1528,8.7847,9.2296,9.1468,,7.9528,9.023,9.9965,8.4462,9.0245,5.8043,10.6636,7.6959,6.5992,10.0041,10.0912,9.0326,8.3986,8.9826,7.0906,8.3098,7.1072,8.2639,8.3078,9.0684,9.9695,7.6536,9.2603,9.505,10.0489,7.7041,8.9881,7.4703,9.193,7.0469,8.7806,8.3138,7.3182,9.3733,8.5653,8.5046,9.0916,9.2336,10.2002,8.8368,10.7902,9.858,8.5033,8.1161,8.9198,7.0067,6.8323,10.2469,9.5132,8.704,8.2708,8.8236,9.3397,9.6362,9.0754,9.5312,7.4381,8.2633,10.3653,10.7241,11.1087,8.9295,9.4455,8.7284,9.5674,9.2608,8.5191,9.9232,8.6749,9.2525,7.2986,7.7253,10.6945,8.4254,9.9489,10.1333,10.7506,8.345,8.7356,9.0078,7.5719,8.0581,9.2761,7.3191,8.5001,8.4812,8.8456,8.0993,8.9527,9.9337,9.0771,9.3945,7.8125,8.5608,8.8838,9.3062,9.4942,9.7479,8.1789,9.9457,7.1739,8.0044,7.4927,8.6586,8.3355,8.2885,8.826,8.3383,9.8789,8.1786,9.5872,7.828,7.5031,7.1338,8.9547,10.3851,9.5372,8.0884,9.6536,8.382,9.5811,7.4852,6.8507,10.5055,8.1675,9.165,8.243,8.5012,7.9317,7.8504,9.8498,8.8301,7.6152,8.9629,9.4319,8.9635,9.1095,8.1306,8.9819,9.2696,7.8721,9.8744,8.4673,S012
10.025,9.463,9.9241,6.4258,10.3419,9.2363,8.1198,11.0453,9.9016,8.4171,9.6327,9.6468,7.7623,8.3496,9.8255,9.2186,10.2214,8.4738,7.9518,10.1182,7.4219,8.4374,8.2692,10.0384,9.3539,6.8187,8.6551,8.8724,8.9468,9.5562,7.8152,8.5112,7.7807,8.0688,8.251,9.0328,9.4139,8.5585,7.8956,7.898,7.8162,9.6329,8.9229,7.4597,6.8088,7.2884,8.2311,7.4895,9.3008,9.2586,7.9856,9.8348,9.1628,8.2993,7.9617,8.5391,7.6564,7.8947,8.4786,8.5527,7.6273,8.7842,8.9559,8.8069,8.0375,7.4791,9.5299,9.1457,9.0283,8.0709,9.1675,7.8402,11.3115,8.7875,7.263,9.8805,7.8704,8.2963,8.3836,7.7652,8.9311,8.301,9.8057,9.189,5.9116,9.6715,8.391,8.2324,7.0859,9.769,8.1268,9.5511,9.3537,10.3224,10.2515,8.6442,8.9847,9.7455,9.1382,8.6733,9.0843,8.9385,8.8823,6.9857,7.8788,8.2685,9.106,7.4751,8.079,7.4873,7.8487,8.4069,8.1924,7.4034,8.9991,8.3012,6.175,8.5764,6.712,7.228,8.1096,8.7043,8.6715,8.9963,8.7202,7.3197,8.1659,8.4769,9.1786,8.1752,7.3794,8.1607,8.921,8.5933,6.9096,8.2672,7.1544,6.9078,8.8948,7.6684,9.3061,8.0135,7.2393,8.5697,9.5286,8.7453,9.289,8.7511,8.8025,8.3989,8.08,8.2599,8.6907,9.2286,8.1387,8.6866,7.8839,6.8677,8.8814,6.7815,9.3876,8.3866,8.9746,7.704,9.148,7.5759,7.5249,7.8426,8.9781,8.67,7.9128,8.998,9.6876,8.4105,9.5173,9.1822,8.2982,8.6236,8.3602,8.3167,9.2572,,9.4442,9.1583,9.5675,9.9033,6.7425,6.7952,7.7542,8.1193,8.5822,10.1256,8.5003,9.5547,9.5604,8.5248,9.1031,8.1792,9.7253,9.1179,8.1617,9.305,10.624,8.723,9.6638,8.1542,8.6174,8.5098,8.5546,8.2947,7.5211,8.5219,8.0304,9.0242,8.0995,8.9269,10.785,10.3531,8.3793,8.7015,9.8517,9.0617,5.4208,10.5465,8.5641,8.3947,9.6944,8.858,9.538,11.0542,7.7201,9.0315,7.4987,9.0499,8.0432,9.4824,9.585,8.8193,8.2861,8.3877,S013
8.7126,7.2448,8.3154,8.8739,9.1223,8.6148,6.6939,9.9916,8.766,9.9153,7.4328,8.941,8.1854,8.1821,8.1026,9.0791,8.2384,9.0057,9.3423,7.6462,8.3955,8.7827,8.1938,9.6148,7.8479,7.8086,9.7255,8.5866,8.3877,7.165,10.3307,8.4001,9.2025,8.8375,9.1144,6.8091,9.0408,8.4279,7.7229,,9.5607,8.164,9.2469,7.34,9.8646,8.5078,8.2501,8.9423,7.9418,7.5029,8.9495,8.3182,8.9009,8.8488,9.0235,9.0742,9.3246,8.9944,9.8134,9.1984,9.2768,8.0408,9.6463,8.5036,8.8994,9.8359,11.2857,8.313,9.1608,10.9335,9.197,7.9113,8.3026,11.2119,8.6111,10.1437,7.1628,8.8128,9.5121,8.951,7.3741,8.249,10.2807,8.2219,9.2616,10.403,8.5647,9.4044,8.5858,9.0942,9.019,10.0496,8.2988,9.0935,9.5584,9.3226,9.6088,7.822,7.5233,9.9445,6.4156,10.2091,8.271,8.1902,9.4236,9.2876,8.0495,9.8833,8.7021,7.1794,9.7346,8.7501,8.6266,7.2907,9.6946,8.4912,10.4587,10.0193,7.5555,9.5273,10.3519,9.8931,9.7791,9.3283,8.9302,8.4247,8.9322,8.8634,10.1838,7.6017,8.9964,7.7756,8.6305,8.1215,8.2935,9.665,10.7486,8.4698,8.7093,10.4842,8.0112,8.8719,7.9546,7.9829,10.0343,8.4474,9.9094,9.5725,8.5246,10.4753,9.2902,8.8402,8.9332,8.6994,8.0445,9.7295,8.4878,7.4567,9.2334,9.5606,8.1837,9.0432,9.8456,8.8985,8.6251,9.5115,8.4041,10.7905,8.3278,8.9958,7.9394,8.1539,8.3032,9.5328,10.5731,9.6846,8.823,8.6575,8.8628,9.276,8.1466,11.7284,8.5835,10.3996,9.0311,9.1052,9.7858,7.5209,8.6134,8.8548,8.4439,8.9496,8.6818,9.4084,8.5986,6.7558,9.1041,8.4666,9.2272,9.7136,9.6802,7.9776,7.7631,7.4191,11.1033,8.344,7.3882,8.5661,8.7626,8.5821,9.7014,8.3544,7.3572,9.3255,8.0007,8.8132,8.6609,10.0512,8.3623,8.1934,9.1467,8.3489,8.3192,8.4033,9.5267,8.6692,9.1543,8.3625,8.8583,7.7391,8.2334,8.3165,10.0797,9.1545,8.2767,9.7509,8.7917,7.7318,8.5282,8.6733,S014
8.9889,8.2209,6.881,9.6258,7.5183,9.5359,5.7305,8.1582,7.867,8.4878,9.6538,7.8455,9.1594,8.748,8.881,8.9184,8.5793,10.3827,8.467,10.6944,8.4608,9.3944,8.5235,8.6612,8.4496,8.2971,8.1176,6.9639,8.3625,8.2661,8.4153,7.6537,7.7224,7.6794,7.3007,7.8695,7.0296,7.9508,9.6133,8.9586,8.5916,8.077,9.4068,8.2034,8.2777,6.6545,9.6304,,8.9336,6.8224,8.5997,7.7709,8.2568,8.3696,9.2011,7.7915,8.092,7.0298,8.4966,8.458,9.0858,8.1652,9.0287,9.3727,8.8326,9.9967,8.2722,9.4876,7.6184,7.6512,8.7428,7.5056,7.9929,7.3875,7.866,8.9682,9.1025,8.6825,9.0349,9.2385,9.3454,10.6797,8.9083,8.0082,9.169,8.5474,10.3516,9.6356,9.2482,7.5835,7.9747,8.7341,9.3118,9.3989,8.7126,7.5971,8.3577,7.5481,7.6956,9.7296,6.5554,7.5145,8.5242,8.9819,8.7285,9.9753,7.7363,8.3818,9.0756,9.0394,8.8072,6.822,8.2222,8.2671,8.169,8.6855,9.3555,7.7816,9.4832,10.5545,8.6551,9.189,8.0651,8.8071,7.697,7.6197,8.6715,8.0144,7.988,8.6064,8.6211,8.4109,7.2174,8.1218,9.6601,8.9539,9.3773,9.549,9.1188,9.1257,7.3573,8.9934,9.126,8.5072,9.9958,8.146,9.1464,8.6676,8.1263,8.6637,7.5509,9.1446,8.3073,8.1505,8.8336,9.1091,9.5933,9.1529,6.1512,9.1716,8.3525,10.278,8.3109,7.9844,9.9663,9.7401,9.0571,8.9718,8.7873,6.8992,9.354,7.9654,9.1005,8.7394,7.9702,,8.5523,7.4268,9.1754,7.0645,8.2648,9.2054,8.2494,7.6701,8.6513,7.8103,9.4362,9.865,9.8378,9.7088,9.6586,8.2554,10.6641,9.2282,8.8806,7.5995,7.9161,8.6657,9.3938,8.3327,7.3021,7.7103,6.8329,9.2712,6.3645,9.4569,8.9053,9.1901,7.1605,8.7587,9.5211,10.2228,9.0877,8.0112,8.5366,7.7852,7.4509,9.5402,9.3157,7.656,8.9874,9.1731,8.254,8.6381,8.1073,8.7076,8.3338,8.4429,8.0186,9.9744,7.382,7.357,9.1745,7.8774,8.3489,9.7353,6.4165,7.6197,8.9933,9.7156,S015
9.0866,6.612,7.4629,9.3392,8.54,9.64,8.8443,9.4381,8.0462,9.6268,8.3194,8.9085,8.8299,8.2685,8.3962,7.4659,8.7366,8.0839,7.2429,9.0088,7.6728,7.9799,9.0842,8.2524,9.0059,10.5644,6.9861,9.3529,8.2906,10.4907,8.5927,8.4995,9.2704,7.4808,7.7693,9.7158,8.168,8.0702,8.6489,7.5576,8.7641,8.7137,8.5198,7.9143,9.1112,8.6304,7.3738,8.4596,6.7887,8.8098,9.5246,8.014,8.8143,8.7866,8.2525,9.9958,8.079,6.7717,8.0871,7.5675,8.2818,8.51,9.9858,8.4095,9.3226,8.6589,10.2334,11.0246,9.3555,8.7732,10.5735,9.7529,8.3563,9.2873,7.6288,9.3089,8.5769,9.7731,8.7346,7.4342,9.4957,10.2765,8.8695,9.3781,8.5732,8.3156,8.4583,7.8513,,8.9176,8.2033,7.4183,8.2682,8.1381,8.2603,7.9827,7.5307,7.608,7.4502,10.0887,9.0523,8.7543,9.1279,10.4317,8.4808,8.0185,8.4677,6.7677,7.9229,8.4713,7.8389,8.5982,9.1285,8.9247,8.6921,10.2601,7.0064,8.9187,9.345,9.8403,8.0973,8.6605,7.639,8.3375,9.5918,8.4664,8.2878,9.2286,8.665,9.1509,8.1051,9.069,8.6076,8.2443,8.0324,9.2537,7.94,8.9502,10.5195,7.3705,7.7711,10.0601,8.4462,9.0983,8.7209,9.0728,9.1382,11.0189,8.623,7.9337,6.6146,7.9874,9.2144,8.8455,8.4024,8.9347,8.5053,9.2951,11.1166,8.9284,8.4677,8.2826,9.0707,7.9695,8.0414,7.9182,9.1582,9.6823,9.093,7.363,8.4256,9.7379,7.6078,8.3944,8.2796,8.4182,9.3845,9.8399,6.8537,8.7415,,8.1705,9.3536,10.1985,8.4733,7.8096,8.2746,8.46,7.6185,8.473,8.5154,7.999,6.9071,7.7455,8.9929,9.0793,7.5695,8.4756,7.8786,9.2454,,10.4895,7.1401,7.0374,8.8314,9.5972,9.7396,9.58,9.2861,8.6877,7.6205,9.2647,8.9186,9.1188,8.7663,7.848,7.5016,9.75,8.6879,7.9641,9.83,8.5281,8.6471,8.3968,9.4688,8.1963,8.6468,9.2002,8.4354,9.1282,10.4262,7.9956,8.8174,8.9778,8.4662,7.8941,8.0358,10.1065,9.8094,7.1405,S016
8.7906,10.6154,8.3935,9.2416,8.7748,8.7234,8.2868,7.9269,8.3816,9.4158,,7.4314,7.735,8.8097,8.143,7.3035,8.3114,8.7566,,9.5944,7.69,8.1867,8.2935,6.6375,7.554,7.2663,8.0326,8.0097,9.6444,8.7015,7.8682,7.3679,8.4107,8.8312,9.6613,8.5548,8.0549,7.1127,7.371,8.6016,9.6346,10.54,9.6367,8.0346,8.2756,7.1814,8.1627,10.7045,8.5039,9.1532,8.7898,9.1457,7.9615,8.3659,9.3504,6.9826,5.835,7.2824,8.7377,8.621,8.0943,8.3637,9.5124,8.3353,9.9183,7.9233,8.3766,7.989,5.9264,6.1946,8.6452,9.1974,8.08,9.1918,7.0237,7.6377,8.806,9.1502,7.3634,8.3803,8.9223,7.4558,6.8786,8.8666,7.5927,8.6185,7.5315,10.2183,8.901,8.6499,9.0985,8.345,8.7432,9.4599,7.6344,8.8697,7.552,8.1397,8.1354,8.4191,8.8782,8.0571,9.2907,8.5974,8.3249,8.8814,8.534,8.8465,8.6679,8.48,8.4488,7.1328,8.6056,8.5558,9.3015,8.7272,9.7205,7.3408,8.7697,7.1748,7.0274,8.9998,8.3299,7.9554,8.5386,7.3635,8.7689,8.3764,9.4225,9.1456,9.2179,8.5173,7.6095,8.5007,8.4089,6.7819,7.6195,9.3565,8.3263,9.4916,7.6029,8.5928,7.603,8.4478,9.0665,9.7688,8.059,9.7694,7.1036,8.1496,8.8641,8.129,7.2494,7.5165,8.0172,9.6216,8.7932,8.7957,6.1266,7.6172,7.3641,8.4001,8.9648,10.1156,7.651,7.6043,8.5401,9.0252,6.3222,8.8708,6.8379,7.6462,8.4098,7.872,8.7161,8.0361,7.8592,7.9275,,8.5767,8.3669,8.1496,8.8935,8.8051,8.5716,9.0053,9.0786,10.2239,7.4008,8.8041,8.3076,9.3758,8.855,8.7949,8.6694,7.6355,8.7661,8.6862,9.073,6.493,7.1298,8.5463,8.1261,9.3341,8.7555,9.4,7.6449,8.347,8.2482,7.6793,8.7022,9.6198,7.6559,8.9793,8.2315,9.8415,8.4067,7.1345,8.4653,9.7009,10.2787,8.3423,7.7294,9.3999,7.21,10.5175,8.1751,8.8825,8.4112,8.8724,8.8803,8.8867,8.2241,7.3202,7.0456,7.5582,8.5465,8.4397,9.8716,9.9913,S017
6.9985,8.6653,8.676,8.6454,9.7668,8.6992,9.7982,9.0027,10.9565,7.8481,7.5465,7.8121,8.5774,8.3721,8.6707,8.6296,8.8094,9.6044,9.3782,9.5878,9.3761,10.562,9.4616,7.8026,6.8182,8.3874,8.4885,8.024,6.8586,8.0361,7.5955,6.9306,7.5742,9.2809,8.2284,7.5737,9.083,7.054,8.2543,8.5563,7.0749,9.2801,8.5175,8.2657,9.0034,10.5339,7.8292,9.5133,9.1375,7.392,8.0558,8.741,8.2761,8.3962,7.0803,8.5884,6.7667,8.4609,9.825,9.1109,8.5999,7.1233,8.9704,8.0648,8.4043,8.6699,8.5011,8.3588,8.0196,9.0253,7.4932,7.3093,9.2003,7.6705,9.3615,9.825,7.7379,8.611,8.4864,8.4846,6.6303,8.1164,8.3555,8.0337,7.6422,8.2524,8.3371,8.9988,8.7409,10.2771,9.4481,6.4055,9.2682,8.4428,9.7707,,7.589,7.7463,7.7835,8.4879,6.6417,7.5976,8.2024,8.6677,6.5309,7.0182,8.7108,9.5113,7.8867,8.032,8.1453,8.095,8.7389,8.1187,8.2652,7.9625,7.1096,7.3796,7.055,8.4504,7.345,7.1965,8.6155,8.269,8.6495,8.8589,8.8718,8.1271,8.4397,10.2387,9.4835,8.722,8.8786,10.1554,7.5307,7.4714,8.5899,6.7806,8.094,8.48,8.3751,7.2231,9.1293,8.4208,8.9006,8.8451,8.3708,8.9637,6.284,6.8986,8.9133,9.3782,9.621,7.7366,9.5454,9.9519,9.5029,7.291,8.0175,8.8428,8.3519,8.565,8.7166,7.3275,8.3661,8.5374,8.9337,8.7255,8.655,6.955,9.2955,8.9779,8.9747,7.5513,9.23,9.3857,8.9859,8.6482,7.9289,8.338,9.2184,7.2346,10.4809,8.4236,8.2365,7.5476,9.6784,9.7811,7.1138,7.2824,8.5185,9.9005,7.6696,8.8355,8.7898,7.7934,7.8319,7.1099,8.7597,9.4919,7.7531,8.2909,8.9341,8.733,8.4818,8.8955,7.5177,8.2898,10.7035,8.4427,8.3254,9.7158,7.7116,7.7098,8.8163,7.2691,9.1672,8.3702,8.6701,7.0972,7.9185,8.4628,6.6347,8.5945,9.2874,8.8615,8.1691,10.152,9.1004,9.1077,8.3449,8.6859,9.4097,7.2886,9.6886,8.2259,8.3288,,7.1975,8.3504,S018
9.1788,9.642,7.3796,8.1256,9.4006,9.1904,8.4254,8.0609,8.3991,8.4073,9.8934,8.9815,8.4922,8.4717,9.7541,9.266,8.6284,9.8782,8.8199,9.0869,8.4939,7.7429,8.6656,7.9848,8.7341,8.8698,9.4139,7.8357,10.1179,8.7209,9.3879,8.4951,8.1285,8.2521,8.8491,7.6634,11.792,8.9097,8.9487,9.6828,8.5804,10.0781,7.6865,8.5961,9.8459,9.3752,9.3471,9.3139,7.8907,8.2524,9.8752,9.809,9.2736,9.7016,7.6953,8.2597,7.0104,10.0168,8.996,10.1133,9.2168,8.0365,9.3542,8.7063,8.3942,10.4577,8.5283,8.4724,10.5615,8.0521,7.4581,9.4553,8.0846,8.2157,9.1519,9.7727,8.2774,7.9858,9.3554,9.6323,8.9675,6.7147,6.7308,6.6007,8.4546,9.8153,6.796,10.1642,10.05,8.923,9.1594,7.6914,9.1721,8.0456,6.9072,10.6025,8.8662,7.9011,9.379,7.6044,8.1611,9.4941,8.3101,7.9636,8.8246,9.7668,7.4873,9.7631,7.7525,8.756,7.7044,6.6799,7.789,8.141,8.413,9.4463,8.1282,9.5681,10.4529,10.1698,9.1719,7.8904,8.0435,9.8651,10.2233,7.8265,8.9126,8.2187,8.6604,8.8479,7.0154,10.4475,8.0904,9.2556,9.5653,8.1571,9.3871,8.0231,8.1379,8.1128,9.4259,8.7914,9.1559,8.8625,9.2997,9.6248,8.7494,9.1622,9.9833,10.4122,8.2081,9.0216,8.5136,8.3023,7.757,9.3164,7.8226,8.6879,9.7906,9.2215,8.4469,7.6908,8.7273,9.8935,8.1915,8.7302,6.9868,8.2537,9.1094,8.0922,8.0976,9.1476,8.87,9.0811,9.1174,9.779,8.7573,9.0442,8.2779,8.2732,9.2929,9.1913,8.6602,9.5737,7.1869,10.0959,9.0302,9.5383,11.0313,8.2359,8.8832,9.8075,8.6143,8.6071,9.887,8.0046,7.6412,8.3721,7.7224,9.1781,9.5588,8.0436,9.0762,8.7077,7.6323,8.53,8.4346,8.9954,9.0884,9.6835,9.5527,8.8804,8.3977,8.7029,7.4218,8.0684,8.5938,7.6251,8.3844,10.6677,8.5086,9.516,7.3391,9.6626,7.1997,8.114,9.3239,7.7342,7.7276,8.1407,7.6501,9.6492,8.4908,7.7198,,9.013,8.3454,9.6179,9.1908,7.9196,S019
6.7683,9.3987,8.7896,7.1354,8.0934,7.7125,8.1887,9.4138,6.9038,8.878,8.851,7.3939,9.1039,10.0297,8.2064,9.1087,8.4278,8.4971,9.1117,7.3733,9.5424,9.3368,9.3133,8.0874,8.3832,8.8601,8.919,8.7525,8.444,8.4756,7.3789,5.645,8.4583,8.8975,8.2249,8.269,6.5213,9.4304,9.4199,8.0681,7.9074,9.1295,7.9872,8.1345,9.3398,8.5644,8.9618,8.7963,7.5913,8.5112,8.311,7.2113,7.5338,9.5156,9.0682,7.6891,9.3679,7.931,9.377,8.3617,8.3312,8.1413,7.1589,7.8802,8.0416,7.0083,9.7773,10.9536,9.1397,9.1316,7.5317,8.7435,6.582,9.3029,9.0823,8.5329,7.1971,6.6738,9.6023,7.3563,7.8664,8.8723,8.707,10.0861,7.8199,8.4562,9.2128,8.7468,7.4376,8.6405,9.8882,8.895,7.8164,8.6189,7.6571,9.996,6.3643,7.7161,7.5452,8.0576,9.0885,7.8608,8.5625,8.9114,7.9449,7.4078,6.7487,7.9525,8.5379,7.9166,7.9323,9.147,9.3362,,7.3359,8.4108,9.0643,7.6283,8.4885,8.9695,9.0436,8.247,8.5882,6.577,8.003,8.0181,7.408,8.4354,7.7933,9.2591,8.8286,10.0922,7.7562,7.2545,9.4109,7.4386,9.6564,8.8439,7.4478,7.6703,8.6486,8.8993,7.1236,8.1842,8.1977,8.1152,9.5003,8.8292,8.9701,7.7613,6.5124,8.0628,8.1998,8.0161,7.6783,8.1603,7.9086,7.9415,7.4117,6.8385,9.0097,9.2397,7.1975,8.5422,8.0032,9.0729,8.6003,7.9417,8.4636,9.4523,10.0163,9.4637,7.5549,8.4605,8.8731,9.8381,8.5136,6.2774,6.6465,8.3462,7.9882,7.4347,8.8491,8.9871,8.921,8.0927,9.2508,8.3734,,8.4508,9.7113,8.7595,9.5756,9.2384,9.57,7.1265,9.762,,7.7514,7.8295,7.9757,9.0708,7.6213,9.3492,9.255,7.7416,8.7328,8.2172,8.6403,8.9254,7.2907,7.5868,7.5524,10.1466,7.7953,7.9628,9.2826,7.2064,9.5515,9.1468,7.5314,7.9795,6.1857,7.4254,7.7364,8.8265,7.9952,7.8997,7.9305,7.1185,8.1914,6.5885,8.6309,8.3772,7.1368,6.9366,9.9852,7.2674,7.0034,8.9259,S020
